formula,natoms,energy,number,has_inversion_symmetry,lgnum,layergroup,bravais_type,thickness,evac,dipz,minhessianeig,dyn_stab,alphax_el,alphay_el,alphaz_el,alphax_lat,alphax,alphay_lat,alphay,alphaz_lat,alphaz,emass_cbm,emass_vbm,is_magnetic,spin_axis,dE_zx,dE_zy,ehull,hform,is_ferroelectric,P_spontaneous_norm,J,lam,A,spin,N_nn,topology,plasmafrequency_x,plasmafrequency_y,halfmetal_gap,halfmetal_gap_dir,gap_gw,vbm_gw,cbm_gw,efermi_gw,E_B
RuBr2,3,-12.93679807986843,164,1,72,0,0,2.6336983078992056,3.3028176362134554,6.528271773250589e-11,-5.751219470199281e-15,1,3.9139706855613454,3.913970685561343,0.3359265571649909,0.17092108389693086,4.0848917694582765,0.1697602361811294,4.083730921742473,0.0037870224420498066,0.33971357960704074,0.7983218220617994,3.249751233515195,0,2,0.0,0.0,0.1872150665743053,-0.10147924612467267,0,,,,,,,0,0.0,0.0,,,2.403057819504702,-4.877997320647895,-2.4749395011431927,-3.676468410895237,1.3526126406042143
MoSe2,3,-20.291055724621312,187,0,78,1,0,3.33805895352641,4.584330644188648,-5.958587685442014e-14,-1.8082592220070203e-14,1,7.27956216571022,7.279562165710225,0.4116217953104684,0.2999474799097903,7.579509645620011,0.2986121397327848,7.57817430544301,0.0012556241941659822,0.41287741950463436,0.491940540516983,0.5850332478546281,0,2,0.0,0.0,0.0,-0.7077534906148024,0,,,,,,,0,0.0,0.0,,,2.1190653734421043,-5.269401988854958,-3.1503366154128543,-4.209869302133907,0.49978650001504665
ZrCl2,3,-16.088364071566033,187,0,78,1,0,3.4157984398376016,3.9185115604640144,4.880645864504854e-14,-2.0113959521897178e-14,1,5.127330200395246,5.127330200395245,0.3562965225951452,0.2128822512696062,5.340212451664852,0.21618575474204363,5.343515955137288,0.010308053725757075,0.36660457632090226,1.0073714237610798,0.43126653322191766,0,2,0.0,0.0,0.0,-1.7050652402350515,0,,,,,,,0,0.0,0.0,,,1.9926315565514572,-4.43020508896471,-2.4375735324132526,-3.4861161287549334,0.9094423908270558
HfCl2,3,-15.696102207835901,187,0,78,1,0,3.4599141836685092,4.035370111961512,-9.424632323320708e-13,-1.6867456522349848e-15,1,4.3666701074707985,4.366670107470802,0.355142486488411,0.39769700775630534,4.764367115227104,0.3949851534352501,4.7616552609060525,0.01059161752017844,0.36573410400858947,0.7801494122346229,0.37649406150632436,0,2,0.0,0.0,0.00681337844221197,-1.539937580898431,0,,,,,,,0,0.0,0.0,,,2.0915107901850156,-4.373244361870824,-2.281733571685808,-3.3702163817308683,0.9136897516752635
YCl2,3,-14.406901848432268,187,0,78,1,0,3.4349399332357526,3.476343455010591,3.40217550389673e-14,4.577744159151995e-16,1,2.6142605153876546,2.614260515387667,0.33758945505634447,1.4668297540453985,4.081090269433053,1.4505464122017635,4.06480692758943,0.03773473871121139,0.3753241937675559,2.2552270428548926,1.9106904235906983,1,2,-0.0006862205736979377,-0.000672952921831893,0.045503871077878934,-2.048398206976501,0,,16.388483150421962,-0.004063548923719888,0.0,0.5,6.0,0,0.0,0.0,,,1.8521282846701212,-4.76292710717964,-2.910798822509519,-3.8368629648445793,0.6726637548168217
PtCl2,3,-10.12418893528996,164,1,72,0,0,2.63187444002679,3.097682305123091,-5.029063350076833e-12,-2.5983301542099145e-15,1,2.283985931985143,2.283985931985144,0.30494483707387393,1.1240377025423791,3.408023634527522,1.1265261414031469,3.4105120733882908,0.015988574932031492,0.3209334120059054,1.3689863153060988,1.407656173540444,1,1,2.089007256927289,2.115111485863963,0.3579826248069355,-0.06663487429116206,0,,10.721559764363064,-0.5489006925074591,-0.7908701491601278,1.0,6.0,1,0.0,0.0,,,2.3695563076668535,-6.3945652217193105,-4.025008914052457,-5.209787067885884,1.3188526746368034
PbS2,3,-11.927718624216233,164,1,72,0,0,3.083980716075267,3.5252455386261383,-5.851272364542118e-15,-1.1416662411277604e-13,1,4.619240386203729,4.619240386203725,0.3786772649058869,7.858074628235037,12.477315014438766,7.864527012689455,12.483767398893178,0.014322928409798734,0.3930001933156856,0.5206310545181171,1.1550762058667694,0,2,0.0,0.0,0.37437751575919326,-0.004322527148670948,0,,,,,,,0,0.0,0.0,,,1.7627619980359452,-7.606438971861113,-5.843676973825168,-6.725057972843141,0.8166648130542039
OsI2,3,-12.834996669481503,164,1,72,0,0,2.7334789774153307,3.8409393705979826,4.2863387203034956e-11,-3.2705838633191272e-15,1,4.743515197929174,4.743515197929179,0.3848257293862512,,,,,,,0.5285555379795551,1.9332345601790801,0,2,0.0,0.0,0.4375517058183049,0.4375517058183049,0,,,,,,,0,0.0,0.0,,,2.234861972170756,-4.625256010827459,-2.3903940386567033,-3.507825024741986,0.8692375331328337
GeS2,3,-13.343084222306183,164,1,72,0,0,2.7940182516731795,3.717951072306014,1.980901271739589e-14,-1.5090452226904728e-15,1,3.9662280447401708,3.9662280447401694,0.36117284919187814,5.603700318520187,9.569928363260358,5.375085575471089,9.341313620211258,0.012537038722253977,0.3737098879141321,0.3587581317444014,0.5237784709358878,0,2,0.0,0.0,0.12265027167945242,-0.22369945623707643,0,,,,,,,0,0.0,0.0,,,2.265981066506524,-7.531643416268354,-5.26566234976183,-6.398652883015092,0.7839070917951185
PtSe2,3,-14.559603637603868,164,1,72,0,0,2.6196174497051317,3.6743055677775347,-3.217928688635218e-10,-4.954948504468635e-15,1,7.067946025638867,7.067946025638866,0.3847451669148007,0.4100048265162971,7.477950852155164,0.40800970210096765,7.475955727739834,2.4508523931866933e-05,0.3847696754387326,0.3272417286808719,3.0283199894227164,0,2,0.0,0.0,7.401486830834377e-17,-0.4133001782387969,0,,,,,,,0,0.0,0.0,,,2.380966208275626,-6.244601805565694,-3.8636355972900684,-5.054118701427882,0.5114137640306967
