,element_pair,count,mean,median,std,min,max,range,Q1,Q3,IQR
0,As-Br,6,0.6731445977021117,0.6908464665963641,0.10262360832759859,0.5268962098197676,0.8027465222265251,0.2758503124067575,0.605176529423149,0.73589564460527,0.13071911518212098
1,As-Cl,6,0.7774129435253525,0.8040300149448251,0.1970665336581627,0.49185574415554023,1.00879241610943,0.5169366719538897,0.654122791694266,0.9147193190262678,0.2605965273320018
2,As-I,6,0.4180160948095664,0.4103987122769399,0.0733687338591032,0.34805611174771134,0.5097767160466965,0.16172060429898516,0.35455970187758556,0.4727393916427176,0.11817968976513205
3,As-S,6,0.720278343033983,0.7725160605369857,0.2609129694286377,0.3545250851962364,1.00879241610943,0.6542673309131936,0.5351718041860466,0.9110765529506413,0.3759047487645947
4,As-Se,6,0.6423655385084514,0.6908464665963641,0.17833475972081328,0.3546635519216331,0.8173175865290312,0.46265403460739807,0.5485743248635192,0.7722382779901494,0.22366395312663023
5,As-Te,6,0.5059297544945963,0.5093759769876539,0.09311372986258126,0.34805611174771134,0.6085829078054816,0.2605267960577703,0.47916985952354096,0.5706587940495942,0.09148893452605322
6,Bi-Br,6,0.6842413825924553,0.7426812101791265,0.1695192279028188,0.45702328849559465,0.8499929760930007,0.3929696875974061,0.5470321844606529,0.8091106285848225,0.2620784441241696
7,Bi-Cl,6,0.7105008145206452,0.7598213065630375,0.2029995070036203,0.46365736674578495,0.9182205259600158,0.45456315921423085,0.5310511212971162,0.8699728179533991,0.3389216966562829
8,Bi-I,6,0.5375669642683216,0.5040031066218922,0.07673369182361753,0.4681213481282872,0.6741595332193778,0.20603818509109062,0.49679644642431453,0.5615411251504916,0.06474467872617706
9,Bi-S,6,0.7306234775755134,0.7797498463582251,0.15651357556702508,0.5036668396281848,0.9182205259600158,0.414553686331831,0.6282578367166838,0.813382441823751,0.18512460510706719
10,Bi-Se,6,0.7285327483369489,0.7227526703839389,0.1390213754788769,0.5043393736155997,0.8971992663258381,0.39285989271023847,0.6841587000340046,0.8203320171422488,0.1361733171082442
