,natoms,energy,number,has_inversion_symmetry,lgnum,layergroup,bravais_type,thickness,evac,dipz,minhessianeig,dyn_stab,alphax_el,alphay_el,alphaz_el,alphax_lat,alphax,alphay_lat,alphay,alphaz_lat,alphaz,emass_cbm,emass_vbm,is_magnetic,spin_axis,dE_zx,dE_zy,ehull,hform,is_ferroelectric,P_spontaneous_norm,J,lam,A,spin,N_nn,topology,plasmafrequency_x,plasmafrequency_y,halfmetal_gap,halfmetal_gap_dir,gap_gw,vbm_gw,cbm_gw,efermi_gw,E_B
natoms,1.0,-0.43468248401444454,-0.32705893135036024,0.08452952175650276,-0.3199513306259871,0.1257874121338702,0.4716124484726412,0.6116564688753393,0.2544175517498458,0.040387699528146435,0.03409366495689116,-0.052884679282599524,0.3388048202086385,0.33867674478389087,0.2915773150289639,0.1616674995486919,0.164429682414188,0.2635798331181799,0.27221695501409127,0.012756170622063105,0.2244657929031608,-0.1423238957665483,0.07355152277980898,-0.0850782395499816,0.06058775079989602,-0.0064252478096298036,-0.0065029674170815404,-0.050022149061201844,0.04236317228575523,0.1985022069840946,0.7051141305492177,,,,,,0.19106643852917565,0.11146810368710164,0.11146810368710162,,,-0.16044290564397012,0.1710078092716891,-0.022037418512637266,0.09467219517209043,-0.14217154914019853
energy,-0.43468248401444454,1.0,0.008442220211876027,0.03332595398044414,0.012263919586248152,0.054849431407167165,-0.07345065679912084,-0.08065248134277735,-0.4512149689915054,0.18536073896384278,0.1467915824010224,-0.02795102552621463,-0.3722683286272224,-0.3668755218100138,-0.06033461871353601,-0.05045552793988534,-0.05326143231536806,-0.03142485064584854,-0.04298296306754498,0.19387999134850947,0.010581193228271857,0.027477907004868622,-0.13146352709573464,-0.030778564828232182,-0.0015379185306140678,0.009743903723948531,0.010045338102190576,-0.17600724158551762,0.3659519068135362,-0.036801656267673226,-0.8185393159478329,-0.09978737640417214,-0.011547523838235223,-0.11145478294962073,0.044010698848216075,0.4138758902274422,-0.15787915734893856,-0.17238163488669037,-0.17238163488669034,,,0.17419489159593005,-0.16916775579316623,0.04786782365449894,-0.0793397906573521,0.06573832994084346
number,-0.32705893135036024,0.008442220211876027,1.0,-0.16185262981624401,0.993225990771142,-0.6186883925209362,-0.6593483377913265,0.2189048751053982,0.18628013177716565,-0.0411569626242435,-0.13940946177796754,-0.1652841050982128,-0.035444856142637246,-0.044081482898528375,0.08397372987946611,-0.01801941103934465,-0.02009887634233662,-0.18800351100483814,-0.19366812916803822,0.14424401554591126,0.1500705054301433,0.0778121169097893,0.1250947732252538,0.0959598427608138,-0.08380911334841747,-0.00614781766767321,-0.0061552239799245075,0.13465850236345892,-0.2839686392991468,-0.5600221451632439,-0.7051141305492176,0.5694551476587866,-0.2999095523748143,0.39523115861247815,-0.3692744729379982,-0.36155076303109396,0.01605913494987666,0.043458555074356975,0.043458555074356975,,,0.1502922977626384,-0.18714957536510574,-0.018482647094740613,-0.13408993691888174,0.15867538329732192
has_inversion_symmetry,0.08452952175650276,0.03332595398044414,-0.16185262981624401,1.0,-0.12693578256640237,-0.49946721370430247,0.19187287740755732,-0.24884382750612527,-0.3564669912733975,-0.11900234330457278,0.11650462103426354,0.1493505900022288,-0.21701409597484125,-0.22269134465151535,-0.35401000481299666,0.11592896429027225,0.11169050016436576,0.12102254323940974,0.1008486201724871,0.14397875414462144,-0.37973642353273074,-0.19056605954292005,0.0522638405476064,0.1373150891071645,-0.04971793279291293,0.05198633980321152,0.05240713683295805,-0.21603965390974808,-0.06832702536167741,-0.10259318846220049,,-0.5694551476587865,0.2999095523748144,-0.3952311586124778,0.3692744729379983,0.3615507630310936,-0.11988893343234883,-0.03836184570212648,-0.03836184570212648,,,0.31173735503016614,-0.22828792966014458,0.1937108382522338,-0.07776143560908444,0.2936989297675836
lgnum,-0.3199513306259871,0.012263919586248152,0.993225990771142,-0.12693578256640237,1.0,-0.6015827288468418,-0.6246263177467963,0.2131304423749526,0.18249215881235265,-0.04197239445523285,-0.1311987704096276,-0.15912156590011564,-0.042468864739001556,-0.0471717684639609,0.08054885268799386,-0.010053471989952809,-0.012175114946328574,-0.16200522953312524,-0.16768346841069526,0.15098678291878448,0.14769659884194142,0.06611146001728498,0.1213048674871236,0.09736751182865358,-0.08260999324037775,-0.004135508510221623,-0.004128101598142595,0.12218821901141218,-0.2801636098441506,-0.5466700206187776,-0.7051141305492175,0.5694551476587866,-0.2999095523748144,0.39523115861247754,-0.3692744729379984,-0.3615507630310935,0.0038593416541047457,0.04061807855857206,0.040618078558572066,,,0.16056820158342014,-0.18920907084311234,-0.004165485041821899,-0.12870437750491556,0.16199186761616996
layergroup,0.1257874121338702,0.054849431407167165,-0.6186883925209362,-0.49946721370430247,-0.6015827288468418,1.0,0.4926422636971587,-0.002450071230419127,0.10023114346362433,0.18429305309034968,0.07921007876034637,0.06348516429318235,0.13240994384812507,0.14328979607591621,0.20151092470640292,-0.03922475227206134,-0.034841681276275,0.15750640217991066,0.17453804894969366,-0.2360217188021969,0.15968609387197005,0.11649165082449224,-0.1768160589057104,-0.20955451469364322,0.13382285263820462,-0.0291666589949477,-0.029452770976475542,-0.03807972647766156,0.3283979073366765,0.35112645985235286,0.7051141305492175,0.5694551476587866,-0.2999095523748144,0.3952311586124778,-0.3692744729379983,-0.3615507630310936,0.038715523833402765,-0.024446952448115178,-0.02444695244811518,,,-0.37209963898491866,0.3270998098351758,-0.15197146491300673,0.15290476544888368,-0.3850458343421107
bravais_type,0.4716124484726412,-0.07345065679912084,-0.6593483377913265,0.19187287740755732,-0.6246263177467963,0.4926422636971587,1.0,-0.10668993840823843,-0.10998141533878789,-0.046590017882099176,0.0401281999266141,0.00088792940170362,0.05627460572238263,0.06242814715564426,-0.017723846542010424,0.061641811662391854,0.06395286852761574,0.390487014767159,0.39503607457666956,-0.03328236562547261,-0.03876469493553096,-0.15446184001831384,-0.07377440952205605,-0.06759038652054,0.048133923746380744,-0.005104536544717745,-0.005166280867774657,-0.06548678288286168,0.18218654844641444,0.3491937215684405,0.7051141305492176,,,,,,-0.0008188815910779917,-0.015003256660276684,-0.015003256660276682,,,-0.09280769042888848,0.17791634715277432,0.10189465578522743,0.1796375655444949,-0.0787575939580584
thickness,0.6116564688753393,-0.08065248134277735,0.2189048751053982,-0.24884382750612527,0.2131304423749526,-0.002450071230419127,-0.10668993840823843,1.0,0.5515072630991291,0.19930348764557418,0.08318305592585701,-0.09522490199596147,0.3458483009463587,0.34314447165336875,0.5842276058397612,0.06871211404553698,0.07275581795298794,0.04124610217435044,0.05880591127378369,0.03945421689338176,0.5630944028754307,0.01443917002056945,0.10934839513361319,-0.09222322254084184,0.05548789069129689,-0.008495669614490798,-0.00867386445857814,-0.1474631391053801,-0.007439953574711907,-0.12230714018044826,0.5576748277751804,0.44524217195459664,-0.35170624151512847,0.21945679349419048,-0.06061398727979778,0.3964111101681233,0.2076029366970341,0.09703623905446575,0.09703623905446576,,,-0.20424930925017398,0.1667693194613778,-0.1019639313673863,0.06775418346487691,-0.22734070525720634
evac,0.2544175517498458,-0.4512149689915054,0.18628013177716565,-0.3564669912733975,0.18249215881235265,0.10023114346362433,-0.10998141533878789,0.5515072630991291,1.0,-0.024122598826138472,-0.015332156670977263,-0.005370614027965296,0.5150837905300193,0.5137370339854428,0.5950150061861685,-0.09608426720673172,-0.0875504383177758,-0.083501857915555,-0.045512409412618506,-0.42799813366642386,0.5172353940676477,-0.09022626275051142,0.0624186196497101,-0.07660846460583175,0.020199376599177105,0.014883830226493528,0.014615554988229907,-0.030275238056207906,0.0012832696356146953,-0.06774105431500113,0.4914702405718172,0.8767400920183638,-0.7254627561579337,0.258249049071431,-0.266537956178445,0.32727647813545396,0.20474576673124795,0.1779470440686139,0.1779470440686139,,,-0.44746653063564096,0.4138556247426806,-0.1529976861375375,0.1918163550701614,-0.3624853535824416
dipz,0.040387699528146435,0.18536073896384278,-0.0411569626242435,-0.11900234330457278,-0.04197239445523285,0.18429305309034968,-0.046590017882099176,0.19930348764557418,-0.024122598826138472,1.0,0.02073686445349975,-0.055104538525256284,-0.04342990062816192,-0.043267480067110335,0.04655226978130002,0.008754581235210009,0.00777318041827104,0.0761700849807469,0.07103970864688473,0.10880377760364343,0.04401717958272131,0.11601837919295431,-0.11939036177992182,-0.049561448731120644,0.0352945325021782,-0.0037420161421120846,-0.003787293040917211,-0.12262778262315338,0.09422808211642911,-0.08714457872004017,0.7047895170756028,-0.024596814085525675,0.06155320692187286,-0.7083650883027192,-0.3578355726960596,-0.4416199029595457,-0.003999533604676484,-0.011001298434064754,-0.011001298434064754,,,-0.04298929918749094,-0.12376714029322351,-0.25201200512636485,-0.21948315090533105,-0.05987502441677099
