,natoms,energy,number,has_inversion_symmetry,lgnum,layergroup,bravais_type,thickness,evac,dipz,minhessianeig,dyn_stab,alphax_el,alphay_el,alphaz_el,alphax_lat,alphax,alphay_lat,alphay,alphaz_lat,alphaz,emass_cbm,emass_vbm,is_magnetic,spin_axis,dE_zx,dE_zy,ehull,hform,is_ferroelectric,P_spontaneous_norm,J,lam,A,spin,N_nn,topology,plasmafrequency_x,plasmafrequency_y,halfmetal_gap,halfmetal_gap_dir,gap_gw,vbm_gw,cbm_gw,efermi_gw,E_B
natoms,1.0,-0.43806570518903976,-0.326759215040644,0.09492428437898628,-0.3193658751716416,0.12045992688396044,0.47071811447492645,0.6111374919369323,0.251376559422257,0.03917581543614995,0.035732782379189545,-0.04962451638955358,0.3365589156392395,0.3364451683871966,0.28913108979895186,0.16106562155565923,0.16372966821534624,0.2622417482837324,0.2705513486578218,0.011564398150504343,0.2200863006920715,-0.13830405592445016,0.08253480603483629,-0.07120988368476762,0.04922630210628094,-0.0042794438148446206,-0.004373702819609896,-0.05235605863149382,0.04056613069857947,0.19767791193331202,0.7051141305492177,,,,,,0.1922413655672415,0.11118447990613062,0.11118447990613058,,,-0.16029162409394954,0.17340010330920627,-0.01973114780829975,0.09800550925178154,-0.14035368387157898
energy,-0.43806570518903976,1.0,0.012350328027721857,0.02584255960964545,0.01577424831795091,0.057001128093224024,-0.07444992745827053,-0.0866209582724867,-0.46075438277336483,0.18593137074284957,0.1481408604747066,-0.027007568561569103,-0.37793946738038914,-0.37244171075142324,-0.06765109293641622,-0.05133185519425943,-0.05425690833963169,-0.03268425769712688,-0.0447479310501276,0.19777626587389774,0.001607841806995417,0.03459523600199996,-0.12811906289912323,-0.026724079504410938,0.004239766802848883,0.006746932888852747,0.007066813063810039,-0.16305407703426014,0.35693581292407617,-0.03736302567665774,-0.8185393159478329,-0.07439471769151551,-0.02792917786636813,-0.06417435184709344,-0.06819669853022221,0.12425072290382616,-0.16388135123775838,-0.17338806616562996,-0.17338806616562993,,,0.1809055427523026,-0.17818843744514548,0.04787713473803294,-0.08722435501637166,0.10065576249156663
number,-0.326759215040644,0.012350328027721857,1.0,-0.1647701498653429,0.9932426678048607,-0.624933113993517,-0.6596611042325344,0.22355721995992558,0.19088179432770166,-0.04064785859385764,-0.1403237309333916,-0.16743069817728737,-0.03354860477836473,-0.04224308070057176,0.08846437746700542,-0.017442689360487287,-0.0194383851941966,-0.18708186505024374,-0.19246693542817933,0.14484731067356163,0.15858959836270742,0.07412305004005948,0.12322408914233093,0.10128789537653263,-0.09179876567758224,-0.006337242251029618,-0.006343276160375598,0.13052633440433262,-0.28142505209412777,-0.5602232891512354,-0.7051141305492176,0.5046873538964102,-0.21899748383561624,0.35896296750640433,-0.40118944439881465,-0.2282177322938194,0.01741371596840646,0.04368316315315549,0.04368316315315549,,,0.1488101008418771,-0.1852764695916873,-0.017213706673682463,-0.13251544351653868,0.1729506128924774
has_inversion_symmetry,0.09492428437898628,0.02584255960964545,-0.1647701498653429,1.0,-0.1306199275018773,-0.48575790716130557,0.20307203944707689,-0.24466382796754133,-0.35241336626811914,-0.11694038038026527,0.1132177060024172,0.13998439849223737,-0.2095667881303402,-0.2155109801196015,-0.3519549478478996,0.12139793638927816,0.11739229994155576,0.13010937809849565,0.11081230645144631,0.15346133500671963,-0.3749885771136434,-0.21027347336460964,0.029841898418852385,0.0508307397912927,0.03402778717780621,0.04251021321174164,0.043022430341610435,-0.1966113560371638,-0.07826030724175437,-0.10080635255123821,,-0.5046873538964102,0.21899748383561643,-0.3589629675064042,0.40118944439881477,0.2282177322938192,-0.12458622363612795,-0.03768480063974274,-0.03768480063974274,,,0.32229002678481883,-0.25113371343011115,0.18227453944700192,-0.10201685534134254,0.25677071257332323
lgnum,-0.3193658751716416,0.01577424831795091,0.9932426678048607,-0.1306199275018773,1.0,-0.6065663763021721,-0.6246406120379877,0.21799455399444861,0.18742568650038088,-0.04131667279212289,-0.1322714589803917,-0.16162850217121777,-0.04022443424387794,-0.04497111596502488,0.08530351364003345,-0.009394341548660689,-0.011424427110430495,-0.1608615105697526,-0.16622100797081277,0.1517858878876307,0.15649361185277957,0.06197961465460058,0.11867031386249965,0.09947342142743916,-0.0874439834610936,-0.0046776450475819265,-0.004666136044924052,0.11900490007850952,-0.2780224514750174,-0.5466914793127282,-0.7051141305492175,0.5046873538964104,-0.2189974838356165,0.35896296750640444,-0.40118944439881465,-0.2282177322938192,0.005030543503748728,0.04088364761546553,0.04088364761546553,,,0.1592662250619479,-0.18799553332355162,-0.0033615016181835454,-0.12788184487992915,0.1740366633893786
layergroup,0.12045992688396044,0.057001128093224024,-0.624933113993517,-0.48575790716130557,-0.6065663763021721,1.0,0.493241193182312,-0.014261977186799188,0.0880138791564746,0.18247998192345885,0.08521198041376832,0.07541032073522466,0.12280655338395753,0.1339603706959445,0.19187284273771196,-0.04230964478888171,-0.038192013842659495,0.15396090565259968,0.16998288113678325,-0.243642725122294,0.1437746705010849,0.1340629059695238,-0.16002332134056027,-0.15613402619113517,0.08600800678526392,-0.02189007146107438,-0.022237782421691055,-0.05093887904182875,0.3340008622872224,0.3518522832434026,0.7051141305492175,0.5046873538964102,-0.21899748383561643,0.3589629675064042,-0.4011894443988147,-0.2282177322938192,0.03869225573699257,-0.026035545656999486,-0.026035545656999483,,,-0.3767720593919857,0.3402584583977123,-0.14483541767079058,0.16727742328781847,-0.37455445605332
bravais_type,0.47071811447492645,-0.07444992745827053,-0.6596611042325344,0.20307203944707689,-0.6246406120379877,0.493241193182312,1.0,-0.11060872731670329,-0.11449205990379767,-0.04764858440053966,0.0414354304897186,0.003641106784748362,0.0535092569056469,0.05971486288093095,-0.021637291738285425,0.0610309740286456,0.06325978967065693,0.3895827084214968,0.3939230761417642,-0.0343121686401504,-0.04479086409277419,-0.15233295737342362,-0.06939922939629509,-0.056549909498502096,0.0390920864493923,-0.0033984349911970737,-0.003473288900697775,-0.06782445436059914,0.1826418439913541,0.34866010713386303,0.7051141305492176,,,,,,-0.001265773623206527,-0.015339374849836268,-0.015339374849836267,,,-0.09252546681842748,0.18009433960456042,0.10560529251139544,0.18395581600207692,-0.0707537244880172
thickness,0.6111374919369323,-0.0866209582724867,0.22355721995992558,-0.24466382796754133,0.21799455399444861,-0.014261977186799188,-0.11060872731670329,1.0,0.5469449586775265,0.19791772747703137,0.08667067512454722,-0.0893168368240024,0.3409775947172016,0.33830991424317586,0.5797570466271053,0.06744570662674326,0.07128061425293936,0.03766051688972505,0.05439743421219658,0.03805176644629247,0.5559175439593541,0.0285248666511566,0.12679534818793273,-0.052087517952001096,0.018160634277883635,-0.006001324327726177,-0.006217182422699445,-0.14599373156334544,-0.017783375963020594,-0.12503908650203718,0.5576748277751804,0.4482102673941982,-0.2950878332814001,0.20713847532416374,-0.23697317695524286,0.19265331504058136,0.20738788626935353,0.09673021809249407,0.09673021809249407,,,-0.20218886066461877,0.16637231064028893,-0.10144675593318722,0.06768184672778238,-0.21156951756353318
evac,0.251376559422257,-0.46075438277336483,0.19088179432770166,-0.35241336626811914,0.18742568650038088,0.0880138791564746,-0.11449205990379767,0.5469449586775265,1.0,-0.02705659899365548,-0.011960519226278412,0.002175335774149615,0.511152308257223,0.5098483632063198,0.5905035463643011,-0.09895862721998716,-0.09062694367852929,-0.08879708385598661,-0.05158362436286394,-0.4343674815954919,0.5084642813698536,-0.07754775434024672,0.0809361806858597,-0.024944493793479523,-0.029430070269993,0.018530986043190575,0.01822705737255929,-0.027859548537830833,-0.008450276225867246,-0.07055159039519245,0.4914702405718172,0.9234854242920956,-0.714372337486491,0.21475658453601446,-0.43603300917106275,0.2097719540679832,0.20481552832133396,0.17808149247497396,0.17808149247497393,,,-0.4478922676791027,0.418372647173573,-0.15186750902194887,0.19653971890506328,-0.366941344223128
dipz,0.03917581543614995,0.18593137074284957,-0.04064785859385764,-0.11694038038026527,-0.04131667279212289,0.18247998192345885,-0.04764858440053966,0.19791772747703137,-0.02705659899365548,1.0,0.02167753180019452,-0.0532602210396366,-0.04579051662723757,-0.04560137204667519,0.04411709648670198,0.008319548462248508,0.007281102199065786,0.0752713384509807,0.06992965063583087,0.10828111372423568,0.04081971089121934,0.12121302263477107,-0.11749541481281278,-0.041452965086566367,0.028655545255018653,-0.0024901988860857277,-0.0025450710049892897,-0.1257516090617292,0.094029694666869,-0.08783845196372676,0.7047895170756028,0.03707408344546263,-0.04116330853851624,-0.8951987378849366,-0.26578377875801723,-0.08609542373009378,-0.004355186781173266,-0.011244179119413892,-0.01124417911941389,,,-0.042688684822621815,-0.124142549397926,-0.2543329376961599,-0.22196830432356007,-0.05439402205082002
minhessianeig,0.035732782379189545,0.1481408604747066,-0.1403237309333916,0.1132177060024172,-0.1322714589803917,0.08521198041376832,0.0414354304897186,0.08667067512454722,-0.011960519226278412,0.02167753180019452,1.0,0.45692222176568564,0.03846029841587326,0.03736358457316153,0.14264206795425777,0.012575932149102706,0.01387036844707832,0.016479730784193902,0.023066227196447815,-0.00016608657166448175,0.22006558843784896,-0.025870468641188672,-0.01849740445761817,0.051610501604084404,-0.03567754941246873,0.003101595318543006,0.0031699110391271365,-0.40776935878266873,0.2221420825386552,0.03744859299770437,-0.017989063544924522,-0.44826813900192625,0.24038294580134062,-0.4682346484322372,-0.03136775551800675,-0.21853099022647968,0.05050956678246545,-0.002909049219490116,-0.0029090492194901157,,,-0.09853981946724844,0.23118604047682612,0.17006649542014382,0.28249738290191717,-0.2520679064272902
dyn_stab,-0.04962451638955358,-0.027007568561569103,-0.16743069817728737,0.13998439849223737,-0.16162850217121777,0.07541032073522466,0.003641106784748362,-0.0893168368240024,0.002175335774149615,-0.0532602210396366,0.45692222176568564,1.0,-0.14585665294667588,-0.1512747260425506,0.03749404210528447,,,,,,,0.05642322908324511,0.0606860718539522,0.11295248763444717,-0.07808232498403533,0.0067880159265299314,0.0069375287261479795,-0.37883258367798006,0.024520796443726324,0.08195835355332426,,,,,,,-0.03023549821792404,-0.1182549616388224,-0.11825496163882239,,,-0.06033124835348756,0.1807717182151128,0.16148965868526216,0.19870941125950545,-0.18931203857095322
alphax_el,0.3365589156392395,-0.37793946738038914,-0.03354860477836473,-0.2095667881303402,-0.04022443424387794,0.12280655338395753,0.0535092569056469,0.3409775947172016,0.511152308257223,-0.04579051662723757,0.03846029841587326,-0.14585665294667588,1.0,0.9969891006143194,0.3861698420642523,0.0531587611735861,0.0678577486372742,0.16424341077604562,0.22580003045369643,-0.5373024073756897,0.4179991444727853,-0.05844001342312343,0.05152949832595176,-0.03173555907543617,-0.03092412554196985,0.03541914989563123,0.03510558642640317,0.2770183581847215,0.269003385035156,0.0802124761620951,-0.15956930122311966,0.8495954774316968,-0.7771401931760629,0.10367916677330125,-0.24712953301649487,0.20187316659627447,0.6170741633012238,0.6068332409418665,0.6068332409418665,,,-0.49369733503379665,0.4781897156360986,-0.1424928050203892,0.26319671095451525,-0.45390772315317823
