formula,natoms,energy,number,has_inversion_symmetry,lgnum,layergroup,bravais_type,thickness,evac,dipz,minhessianeig,dyn_stab,alphax_el,alphay_el,alphaz_el,alphax_lat,alphax,alphay_lat,alphay,alphaz_lat,alphaz,emass_cbm,emass_vbm,is_magnetic,spin_axis,dE_zx,dE_zy,ehull,hform,is_ferroelectric,P_spontaneous_norm,J,lam,A,spin,N_nn,topology,plasmafrequency_x,plasmafrequency_y,halfmetal_gap,halfmetal_gap_dir,gap_gw,vbm_gw,cbm_gw,efermi_gw,E_B,num_elements,element_1,element_2,element_3
MgCl2,3,-10.848958215860366,164,1,72,0,0,2.745811729488267,2.8707139820519716,-4.033417390759571e-12,-2.0085061320874493e-15,1,0.8112488662144047,0.811248866214405,0.28082713317054947,1.805928559478913,2.617177425693318,1.7996578819218532,2.6109067481362582,0.06894687898821643,0.3497740121587659,0.41344569446421264,1.1664931667717855,0,2,0.0,0.0,2.9605947323337506e-16,-1.8871292048089279,0,,,,,,,0,0.0,0.0,,,9.598559353258569,-10.83840831635791,-1.239848963099341,-6.0391286397286255,1.8604292211304214,2,Mg,Cl,
MgCl2,3,-10.278506774824864,187,0,78,1,0,3.08004352063059,3.085567958641792,4.3232491035319306e-09,-0.07605780013118997,0,0.907759796405174,0.9077597964051749,0.3078977535141158,,,,,,,0.4232796191520932,1.0695101273198673,0,2,0.0,0.0,0.19015048034516754,-1.6969787244637606,0,,,,,,,0,0.0,0.0,,,8.209943847887267,-10.484681102035644,-2.2747372541483757,-6.37970917808676,1.7930557737217292,2,Mg,Cl,
RuBr2,3,-12.93679807986843,164,1,72,0,0,2.6336983078992056,3.3028176362134554,6.528271773250589e-11,-5.751219470199281e-15,1,3.9139706855613454,3.913970685561343,0.3359265571649909,0.17092108389693086,4.0848917694582765,0.1697602361811294,4.083730921742473,0.0037870224420498066,0.33971357960704074,0.7983218220617994,3.249751233515195,0,2,0.0,0.0,0.1872150665743053,-0.10147924612467267,0,,,,,,,0,0.0,0.0,,,2.403057819504702,-4.877997320647895,-2.4749395011431927,-3.676468410895237,1.3526126406042143,2,Ru,Br,
MnCl2,3,-16.46695944294954,164,1,72,0,0,2.7668657795860154,2.9874091713881703,-2.59223076872811e-10,-3.469779474184563e-16,1,1.1552350286968853,1.1552350286968847,0.2933055105658291,,,,,,,1.8756791337608774,1.310602481280064,1,2,-0.017908770246322092,-0.017954555914911907,0.0,-1.0600121910629923,0,,-0.5924719336871931,0.0006192468481458491,0.0011797495858445473,2.5,6.0,0,0.0,0.0,,,5.398439495142499,-7.751841973738944,-2.353402478596446,-5.052622226167696,0.06386411424780891,2,Mn,Cl,
WTe2,3,-18.223252816143983,187,0,78,1,0,3.6239244264669317,4.832898317412765,-2.0035197377964572e-09,-4.39349957771916e-15,1,8.859341230766004,8.859341230766004,0.4669109779607955,0.6186456057442743,9.47798683651028,0.6161895989990419,9.475530829765047,0.002619345030073368,0.4695303229908689,0.44998967037959525,0.28794168255245145,0,2,0.0,0.0,0.02629539608146203,-0.10947177197261719,0,,,,,,,0,0.0,0.0,,,1.3766233686731302,-4.769904415460913,-3.3932810467877834,-4.081592731124348,0.4198453566249689,2,W,Te,
PbI2,3,-8.792733054769176,164,1,72,0,0,3.734819336916572,3.1448028124636216,-9.699339627518436e-14,-3.633914144443715e-15,1,2.6571721004432924,2.657172100443292,0.4271412861401309,10.57524328148074,13.232415381924032,10.581043778258397,13.23821587870169,0.043949970313849146,0.4710912564539801,0.3071521065159104,2.7271724348382786,0,2,0.0,0.0,0.0,-0.692421804330173,0,,,,,,,0,0.0,0.0,,,3.224097533132783,-7.546586675009447,-4.322489141876664,-5.419138937221536,0.7478031775638638,2,Pb,I,
PbI2,3,-8.558779208319674,187,0,78,1,0,4.062193056098515,3.3515838022672826,-3.2583069577675944e-14,-4.057078183454683e-15,1,2.5976502569714146,2.5976502569714137,0.4613323631136253,5.273011755453674,7.870662012425089,5.263960392427704,7.861610649399117,0.052823866345441485,0.5141562294590668,0.4003040846712676,0.6687888807934642,0,2,0.0,0.0,0.07798461548316737,-0.6144371888470056,0,,,,,,,0,0.0,0.0,,,3.3377813603513817,-7.484559651582088,-4.146778291230706,-5.259664895435256,0.7619503173068362,2,Pb,I,
MoSe2,3,-20.291055724621312,187,0,78,1,0,3.33805895352641,4.584330644188648,-5.958587685442014e-14,-1.8082592220070203e-14,1,7.27956216571022,7.279562165710225,0.4116217953104684,0.2999474799097903,7.579509645620011,0.2986121397327848,7.57817430544301,0.0012556241941659822,0.41287741950463436,0.491940540516983,0.5850332478546281,0,2,0.0,0.0,0.0,-0.7077534906148024,0,,,,,,,0,0.0,0.0,,,2.1190653734421043,-5.269401988854958,-3.1503366154128543,-4.209869302133907,0.49978650001504665,2,Mo,Se,
ZrTe2,3,-16.17232615747774,187,0,78,1,0,3.723129124148598,4.155094461674989,-1.4182363891221723e-14,-2.4191288003180792e-14,1,9.953761994901122,9.95376199490112,0.46681380970967906,5.250199286738305,15.203961281639426,5.252041752850474,15.205803747751593,0.016298493926677846,0.48311230363635693,0.5362121836916919,1.0729546839417126,0,2,0.0,0.0,0.11006649962953337,-0.7865756072655975,0,,,,,,,1,0.0,0.0,,,0.9064045632181966,-5.821455873825664,-4.915051310607467,-5.368253592216566,0.42209385065930927,2,Zr,Te,
ZrO2,3,-25.89838187637049,187,0,78,1,0,2.325439597880483,3.629035306520268,3.973474421230492e-14,-5.878599090234072,0,1.6486754499137768,1.6486754499137795,0.2420093486909892,,,,,,,1.4832801092840016,4.087919631262847,0,2,0.0,0.0,0.7663511190227533,-2.7489584306160757,0,,,,,,,0,0.0,0.0,,,4.435121143920816,-9.559930222190012,-5.1248090782691955,-7.342369650229321,2.0284323573480116,2,Zr,O,
