,element_pair,count,mean,median,std,min,max,range,Q1,Q3,IQR
0,Al-As,1,2.985676273058269,2.985676273058269,,2.985676273058269,2.985676273058269,0.0,2.985676273058269,2.985676273058269,0.0
1,Al-O,1,2.568456344201512,2.568456344201512,,2.568456344201512,2.568456344201512,0.0,2.568456344201512,2.568456344201512,0.0
2,Al-S,1,3.7742778524819744,3.7742778524819744,,3.7742778524819744,3.7742778524819744,0.0,3.7742778524819744,3.7742778524819744,0.0
3,Al-Sb,1,2.5576980436291477,2.5576980436291477,,2.5576980436291477,2.5576980436291477,0.0,2.5576980436291477,2.5576980436291477,0.0
4,Al-Se,1,3.537264053076093,3.537264053076093,,3.537264053076093,3.537264053076093,0.0,3.537264053076093,3.537264053076093,0.0
5,Al-Te,1,3.0157179013765862,3.0157179013765862,,3.0157179013765862,3.0157179013765862,0.0,3.0157179013765862,3.0157179013765862,0.0
6,As-Br,6,2.331931548317021,2.3882332251659806,0.22132377766575365,1.9629726404530823,2.5139495749563503,0.550976934503268,2.238744350057724,2.5090227306458157,0.2702783805880915
7,As-Cl,6,2.6519079167374615,2.695262513533829,0.26134842270207603,2.2034586523305695,2.933123404986287,0.7296647526557174,2.569445136311837,2.8164414324852682,0.24699629617343133
8,As-Ga,1,2.4897627998599137,2.4897627998599137,,2.4897627998599137,2.4897627998599137,0.0,2.4897627998599137,2.4897627998599137,0.0
9,As-I,6,1.610960212229447,1.547402332920611,0.5287286976826031,1.0905866051847057,2.355958357641004,1.2653717524562984,1.146157383601559,1.9708525163910602,0.8246951327895011
10,As-In,1,1.6869894649408694,1.6869894649408694,,1.6869894649408694,1.6869894649408694,0.0,1.6869894649408694,1.6869894649408694,0.0
11,As-S,6,2.3672418608456725,2.512535771207733,0.6579098954785807,1.094800795180379,2.933123404986287,1.8383226098059078,2.394749260095532,2.7243601923772607,0.3296109322817289
12,As-Se,6,2.2484408107944476,2.3882332251659806,0.536790013883724,1.3002271488650992,2.8237562216967254,1.5235290728316262,2.090643494678541,2.546119400809126,0.4554759061305851
13,As-Te,6,1.9791170056438094,2.083215646391826,0.5130682253108941,1.0905866051847057,2.59602796221676,1.5054413570320542,1.8366762978453628,2.2211736556088555,0.3844973577634927
14,Au-O,1,0.9700662021916888,0.9700662021916888,,0.9700662021916888,0.9700662021916888,0.0,0.9700662021916888,0.9700662021916888,0.0
15,B-N,1,7.116705582800181,7.116705582800181,,7.116705582800181,7.116705582800181,0.0,7.116705582800181,7.116705582800181,0.0
16,B-P,1,1.8019763514398917,1.8019763514398917,,1.8019763514398917,1.8019763514398917,0.0,1.8019763514398917,1.8019763514398917,0.0
17,B-Sb,1,0.6345497795653061,0.6345497795653061,,0.6345497795653061,0.6345497795653061,0.0,0.6345497795653061,0.6345497795653061,0.0
18,Ba-Br,1,7.283872720656165,7.283872720656165,,7.283872720656165,7.283872720656165,0.0,7.283872720656165,7.283872720656165,0.0
